Date,Alpha,Market,SMB,HML
2022-01-01,0.005382219076751166,1.2263427488018253,-0.15237108920040227,-0.2353227547209723
2022-02-01,0.008262559635413332,1.0196992419010447,0.17709494700883632,-0.24095654753069337
2022-03-01,0.00687370405859636,1.0191984025334015,0.08502919746952659,-0.24032840653660373
2022-04-01,0.007239012362755581,0.9120209824242413,0.2806090865177676,-0.19351463820484074
2022-05-01,0.005653848067658913,0.7659132454859163,0.3907814011071471,-0.23678802196377013
2022-06-01,0.002060634541792737,0.7989073910186844,0.312281907620113,-0.18625696868810632
2022-07-01,0.004153160583273687,0.7251822247909484,0.3160104938871095,-0.1901210445380535
2022-08-01,0.0028223733306764805,0.6702311495248874,0.41503074229375697,-0.17511964992688556
2022-09-01,0.0039858564678750125,0.5040017454763467,0.5060747067298537,-0.2065534222626361
2022-10-01,0.007182744602007624,0.43257404942135835,0.5176658668070266,-0.2403244496001098
2022-11-01,0.022264773841540512,0.18778046616894242,0.4139026401436742,-0.3972571709271168
2022-12-01,0.019264308163545713,0.3195890310929889,0.4200074577785123,-0.3476780762371364
2023-01-01,0.01953943967938587,0.3673670511654151,0.33359626838983775,-0.27478547127648695
2023-02-01,0.01764652272403953,0.30737200146862126,0.38868085613482983,-0.35636232028662745
2023-03-01,0.01698270955504354,0.3556133460368089,0.4000190182079422,-0.33783403399473777
2023-04-01,0.018045072143200693,0.4931623696816324,0.21555245252141536,-0.16234911090088217
2023-05-01,0.017036794765573446,0.4104019482914232,0.2989717601790549,-0.22748085099285034
2023-06-01,0.017604926695850846,0.45043895327863304,0.3379683440831683,-0.19794886923898344
2023-07-01,0.01996381879579352,0.4481665146823219,0.3735034062681699,-0.25239828529733355
2023-08-01,0.017710901353174942,0.4498021186863411,0.25584064296078435,-0.20197855921062657
2023-09-01,0.009031990814801273,0.6565178562255426,0.10538946573821686,-0.19637259990966327
2023-10-01,0.008990576927612431,0.689568315822477,0.12982708946693663,-0.21149152338514837
2023-11-01,0.005967073957110705,0.6150321365656044,0.1626969432216061,-0.14755315534386132
2023-12-01,0.00685760581571729,0.6013190394939263,0.1646646062760866,-0.15673936245747042
2024-01-01,0.006687761286633839,0.5664622995235642,0.18550692269730984,-0.16087227751344513
2024-02-01,0.010241715240275014,0.5256174384996167,0.5038564471836167,-0.21707222320069078
2024-03-01,0.00780338704903707,0.5670792290867368,0.34306158263783026,-0.12484286293633759
2024-04-01,0.00041978183023145405,0.6850218809236719,0.2505466251444722,-0.15911851859259765
2024-05-01,0.00013227242149717452,0.7148311520218285,0.25338683149489044,-0.1661837492871526
2024-06-01,0.00270366665497028,0.7197348148153466,0.4387919853676836,-0.2241794834967763
2024-07-01,0.005760120492403553,0.6639216002628539,0.31091411041834977,-0.26129958146655674
2024-08-01,0.007437770063580684,0.5946559490886779,0.2441016921797411,-0.30794692508203086
